"product_id","name","slug","description","price","sale_price","stock_quantity","average_rating","num_reviews","feature_text","is_active","is_new","created_at","updated_at","brand_id","category_id","short_description","base_price","review_count","sold_count","view_count","status","is_bestseller","tags"
"1","ADIDAS Originals Men Superstar 11 White Casual Shoes","adidas-originals-men-superstar-11-white-casual-shoes-15222","ADIDAS Originals Men Superstar 11 White Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu White, mùa Fall, phong cách Casual.","699000.00","","47","4.10","157","Gender: men; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: White; Season: Fall; Usage: Casual; Source ID: 15222","1","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","4","9","ADIDAS Originals Men Superstar 11 White Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu White, mùa Fall, phong cách Casual.","699000.00","157","345","5520","active","False","men,footwear,shoes,casual-shoes,white,fall,casual,adidas-originals"
"2","Vans Men Wylie Black Shoes","vans-men-wylie-black-shoes-29567","Vans Men Wylie Black Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu Black, mùa Summer, phong cách Casual.","699000.00","","42","4.50","208","Gender: men; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: Black; Season: Summer; Usage: Casual; Source ID: 29567","1","False","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","126","9","Vans Men Wylie Black Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu Black, mùa Summer, phong cách Casual.","699000.00","208","80","560","active","False","men,footwear,shoes,casual-shoes,black,summer,casual,vans"
"3","Numero Uno Men White Shoes","numero-uno-men-white-shoes-45864","Numero Uno Men White Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu White, mùa Summer, phong cách Casual.","699000.00","","31","4.80","81","Gender: men; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: White; Season: Summer; Usage: Casual; Source ID: 45864","1","False","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","85","9","Numero Uno Men White Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu White, mùa Summer, phong cách Casual.","699000.00","81","683","12977","active","True","men,footwear,shoes,casual-shoes,white,summer,casual,numero-uno"
"4","Vans Unisex Authentic Black Shoes","vans-unisex-authentic-black-shoes-29559","Vans Unisex Authentic Black Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho unisex, màu Black, mùa Summer, phong cách Casual.","699000.00","","68","4.00","174","Gender: unisex; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: Black; Season: Summer; Usage: Casual; Source ID: 29559","1","False","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","126","9","Vans Unisex Authentic Black Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho unisex, màu Black, mùa Summer, phong cách Casual.","699000.00","174","430","5160","active","False","unisex,footwear,shoes,casual-shoes,black,summer,casual,vans"
"5","Woodland Men Khaki Shoes","woodland-men-khaki-shoes-38771","Woodland Men Khaki Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu Khaki, mùa Summer, phong cách Casual.","699000.00","","67","4.40","278","Gender: men; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: Khaki; Season: Summer; Usage: Casual; Source ID: 38771","1","False","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","131","9","Woodland Men Khaki Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu Khaki, mùa Summer, phong cách Casual.","699000.00","278","657","7884","active","False","men,footwear,shoes,casual-shoes,khaki,summer,casual,woodland"
"6","Puma Women Saba Ballet Fun Black Shoe","puma-women-saba-ballet-fun-black-shoe-3235","Puma Women Saba Ballet Fun Black Shoe thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nữ, màu Black, mùa Fall, phong cách Casual.","699000.00","","51","4.70","54","Gender: women; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: Black; Season: Fall; Usage: Casual; Source ID: 3235","1","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","96","9","Puma Women Saba Ballet Fun Black Shoe thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nữ, màu Black, mùa Fall, phong cách Casual.","699000.00","54","202","1414","active","False","women,footwear,shoes,casual-shoes,black,fall,casual,puma"
"7","Nike Women Capri White Casual Shoes","nike-women-capri-white-casual-shoes-12702","Nike Women Capri White Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nữ, màu White, mùa Fall, phong cách Casual.","699000.00","","33","4.00","82","Gender: women; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: White; Season: Fall; Usage: Casual; Source ID: 12702","1","False","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","84","9","Nike Women Capri White Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nữ, màu White, mùa Fall, phong cách Casual.","699000.00","82","876","6132","active","True","women,footwear,shoes,casual-shoes,white,fall,casual,nike"
"8","Fila Men Trasform White Casual Shoes","fila-men-trasform-white-casual-shoes-11986","Fila Men Trasform White Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu White, mùa Fall, phong cách Casual.","699000.00","","24","4.40","61","Gender: men; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: White; Season: Fall; Usage: Casual; Source ID: 11986","1","False","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","40","9","Fila Men Trasform White Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu White, mùa Fall, phong cách Casual.","699000.00","61","512","6656","active","False","men,footwear,shoes,casual-shoes,white,fall,casual,fila"
"9","Vans Men Blue Casual Shoes","vans-men-blue-casual-shoes-59937","Vans Men Blue Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu Navy Blue, mùa Fall, phong cách Casual.","699000.00","","68","4.00","91","Gender: men; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: Navy Blue; Season: Fall; Usage: Casual; Source ID: 59937","1","False","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","126","9","Vans Men Blue Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu Navy Blue, mùa Fall, phong cách Casual.","699000.00","91","868","13888","active","True","men,footwear,shoes,casual-shoes,navy-blue,fall,casual,vans"
"10","Numero Uno Men Black Casual Shoes","numero-uno-men-black-casual-shoes-24249","Numero Uno Men Black Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu Black, mùa Summer, phong cách Casual.","699000.00","","68","3.80","241","Gender: men; Master: Footwear; SubCategory: Shoes; Type: Casual Shoes; Color: Black; Season: Summer; Usage: Casual; Source ID: 24249","1","False","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM","85","9","Numero Uno Men Black Casual Shoes thuộc nhóm Footwear > Shoes > Casual Shoes, dành cho nam, màu Black, mùa Summer, phong cách Casual.","699000.00","241","106","742","active","False","men,footwear,shoes,casual-shoes,black,summer,casual,numero-uno"
