"category_id","name","slug","description","created_at","display_order","image_url","is_active","updated_at","parent_id"
"1","Thời trang","mc-apparel","Nhóm sản phẩm quần áo thời trang.","6/17/2026 10:37:24 AM","10","","True","6/17/2026 10:37:24 AM",""
"2","Giày dép","mc-footwear","Nhóm sản phẩm giày dép thời trang.","6/17/2026 10:37:24 AM","10","","True","6/17/2026 10:37:24 AM",""
"3","Đồ mặc dưới","sc-apparel-bottomwear","Quần jeans, quần short, quần tây và quần thể thao.","6/17/2026 10:37:24 AM","20","","True","6/17/2026 10:37:24 AM","1"
"4","Đầm váy","sc-apparel-dress","Các mẫu đầm váy dành cho nữ.","6/17/2026 10:37:24 AM","20","","True","6/17/2026 10:37:24 AM","1"
"5","Đồ mặc trên","sc-apparel-topwear","Áo thun, áo sơ mi, áo khoác, áo len và áo nỉ.","6/17/2026 10:37:24 AM","20","","True","6/17/2026 10:37:24 AM","1"
"6","Dép xỏ ngón","sc-footwear-flip-flops","Các mẫu dép xỏ ngón.","6/17/2026 10:37:24 AM","20","","True","6/17/2026 10:37:24 AM","2"
"7","Xăng đan","sc-footwear-sandal","Các mẫu xăng đan.","6/17/2026 10:37:24 AM","20","","True","6/17/2026 10:37:24 AM","2"
"8","Giày","sc-footwear-shoes","Các mẫu giày thời trang.","6/17/2026 10:37:24 AM","20","","True","6/17/2026 10:37:24 AM","2"
"9","Giày thường ngày","casual-shoes","Giày casual dễ phối đồ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","8"
"10","Váy đầm","dresses","Váy đầm thời trang nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","4"
"11","Giày bệt","flats","Giày bệt nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","8"
"12","Dép xỏ ngón","flip-flops","Dép xỏ ngón nam, nữ và unisex.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","6"
"13","Giày công sở","formal-shoes","Giày formal lịch sự.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","8"
"14","Giày cao gót","heels","Giày cao gót nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","8"
"15","Áo khoác","jackets","Áo khoác nam nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","5"
"16","Quần jeans","jeans","Quần jeans nam nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","3"
"17","Xăng đan","sandals","Xăng đan nam nữ và unisex.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","7"
"18","Áo sơ mi","shirts","Áo sơ mi thời trang.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","5"
"19","Quần short","shorts","Quần short nam nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","3"
"20","Giày thể thao","sports-shoes","Giày thể thao nam nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","8"
"21","Áo len","sweaters","Áo len nam nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","5"
"22","Áo nỉ","sweatshirts","Áo nỉ nam nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","5"
"23","Quần thể thao","track-pants","Quần thể thao nam nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","3"
"24","Quần tây","trousers","Quần tây nam nữ.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","3"
"25","Áo thun","tshirts","Áo thun nam nữ và unisex.","6/17/2026 10:37:24 AM","30","","True","6/17/2026 10:37:24 AM","5"
